community_id,size,internal_density,avg_degree,max_degree
27,1753,0.0021443995551005844,17.203650884198517,1568
7,1659,0.0019232013704536647,14.660638939119952,572
24,1639,0.0009371687224036218,20.735204392922515,1055
16,1558,0.0010767555196087404,21.60012836970475,1240
28,1411,0.00027343416218063743,10.513819985825656,307
4,1308,0.0005790977306388325,15.674311926605505,1571
18,1307,5.9755984679034206e-05,3.475899005355777,1924
0,1219,0.0034241639288172627,18.868744872846595,729
14,1214,0.00022817065535229956,11.233937397034596,236
13,1204,0.0030060507645614646,25.681893687707642,1507
34,1189,1.8406662645518826e-05,2.001682085786375,4
30,1181,0.002832991288623545,23.332768839966132,1797
35,1167,0.002573633703283992,28.488431876606683,1404
9,1127,0.0006477531162283432,16.23513753327418,2468
26,1091,0.0,1.0,1
12,1089,0.0003814886836277211,13.543617998163453,297
6,1065,0.0010148610964029793,19.454460093896714,2958
20,1017,0.0032459991173669663,22.143559488692233,989
15,1001,0.003342657342657343,44.94205794205794,7085
2,973,0.0016008357335295785,26.446043165467625,9458
33,943,0.0008307947936859596,18.3966065747614,3324
36,919,0.0012683104918911102,10.651795429815015,290
32,897,0.002926421404682274,24.17725752508361,905
31,875,0.0006198103955541026,4.734857142857143,53
25,865,0.0,1.0034682080924855,4
19,846,0.00020423293745716004,9.861702127659575,167
3,842,0.003267798486701444,27.804038004750595,1368
22,812,0.0009232656879240493,17.548029556650246,684
17,740,0.0005046995574735765,13.422972972972973,340
11,737,0.0023560556899297974,14.30529172320217,1347
8,727,0.00011746829303413023,1.5020632737276478,7
23,672,0.0,1.0208333333333333,4
10,660,3.218834781808985e-05,1.456060606060606,8
1,559,0.00014747276562730426,5.221824686940966,2343
29,544,0.00012864261726790163,1.3547794117647058,5
5,532,0.0009133001996516715,18.992481203007518,1267
21,358,0.0,1.0,1
